"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner1_id","winner2_id","winner_entry","loser1_id","loser2_id","loser_entry","score","best_of","round","winner1_name","winner1_hand","winner1_ioc","winner1_age","winner2_name","winner2_hand","winner2_ioc","winner2_age","loser1_name","loser1_hand","loser1_ioc","loser1_age","loser2_name","loser2_hand","loser2_ioc","loser2_age","winner1_rank","winner1_rank_points","winner2_rank","winner2_rank_points","loser1_rank","loser1_rank_points","loser2_rank","loser2_rank_points","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","w_1st_Per","l_1st_Per","w_first_won_per","l_first_won_per","w_per_pair_mean_age","l_per_pair_mean_age","w_age_diff","l_age_diff"
"11","2019-M020","Brisbane","Hard",32,"A",2018-12-31,259,105572,104677,"",126203,106401,"","7-5 7-6(4)",3,"R32","Austin Krajicek","L","USA",28.54209446,"Artem Sitak","R","NZL",32.89253936,"Taylor Harry Fritz","R","USA",21.17453799,"Nick Kyrgios","R","AUS",23.67967146,41,1849,34,2275,208,310,139,545,3,2,69,50,41,12,12,3,3,13,3,68,47,38,11,12,5,6,72.463768115942,69.1176470588235,82,80.8510638297872,30.71731691,22.427104725,4.3504449,2.50513347
"12","2019-M020","Brisbane","Hard",32,"A",2018-12-31,258,105428,105323,"",105433,105120,"","6-3 5-7 (10-6)",3,"R32","Marcus Daniell","R","NZL",29.14168378,"Wesley Koolhof","R","NED",29.70568104,"Roman Jebavy","R","CZE",29.12251882,"Andres Molteni","R","ARG",30.79534565,51,1514,42,1795,49,1577,48,1597,6,5,66,43,34,10,11,1,3,1,6,62,36,28,13,10,3,5,65.1515151515152,58.0645161290323,79.0697674418605,77.7777777777778,29.42368241,29.958932235,0.563997260000001,1.67282683
"13","2019-M020","Brisbane","Hard",32,"A",2018-12-31,257,106378,105439,"",105573,105188,"","7-6(4) 6-2",3,"R32","Kyle Edmund","R","GBR",23.97809719,"Neal Skupski","R","GBR",29.08145106,"Henri Kontinen","R","FIN",28.5338809,"John Peers","R","AUS",30.43394935,161,430,33,2320,26,2740,23,2785,5,1,55,34,28,15,10,0,0,5,3,61,42,32,8,10,3,5,61.8181818181818,68.8524590163934,82.3529411764706,76.1904761904762,26.529774125,29.483915125,5.10335387,1.90006845
"14","2019-M020","Brisbane","Hard",32,"A",2018-12-31,256,105357,105441,"",105269,106421,"","6-7(3) 6-4 (10-4)",3,"R32","John Millman","R","AUS",29.54688569,"John Patrick Smith","L","AUS",29.07323751,"Marcelo Demoliner","R","BRA",29.94934976,"Daniil Medvedev","R","RUS",22.88569473,285,160,81,1056,70,1192,389,70,1,1,69,51,41,7,11,4,5,5,3,72,53,36,10,11,3,5,73.9130434782609,73.6111111111111,80.3921568627451,67.9245283018868,29.3100616,26.417522245,0.473648180000001,7.06365503
"15","2019-M020","Brisbane","Hard",32,"A",2018-12-31,255,110758,105526,"",200282,103720,"WC","6-3 6-1",3,"R32","Ben Mclachlan","R","NZL",26.64202601,"Jan Lennard Struff","R","GER",28.6844627,"Alex De Minaur","R","AUS",19.86858316,"Lleyton Hewitt","R","AUS",37.84804928,18,3300,22,3080,406,60,142,535,4,3,41,26,19,9,8,0,1,2,3,44,27,15,5,8,1,6,63.4146341463415,61.3636363636364,73.0769230769231,55.5555555555556,27.663244355,28.85831622,2.04243669,17.97946612
"16","2019-0451","Doha","Hard",32,"A",2018-12-31,269,105676,105732,"",104898,104235,"","5-7 6-4 (10-4)",3,"F","David Goffin","R","BEL",28.06570842,"Pierre Hugues Herbert","R","FRA",27.78918549,"Robin Haase","R","NED",31.73716632,"Matwe Middelkoop","R","NED",35.32648871,354,90,12,4440,38,2100,36,2160,2,0,67,46,34,13,11,4,7,2,1,66,47,31,10,11,5,8,68.6567164179104,71.2121212121212,73.9130434782609,65.9574468085106,27.927446955,33.531827515,0.276522929999999,3.58932239
"17","2019-0451","Doha","Hard",32,"A",2018-12-31,268,105676,105732,"",105831,104925,"WC","6-1 3-6 (15-13)",3,"SF","David Goffin","R","BEL",28.06570842,"Pierre Hugues Herbert","R","FRA",27.78918549,"Marko Djokovic","R","SRB",27.36481862,"Novak Djokovic","R","SRB",31.61122519,354,90,12,4440,607,15,268,180,2,2,53,37,31,7,8,0,2,1,1,59,35,24,12,8,4,7,69.811320754717,59.3220338983051,83.7837837837838,68.5714285714286,27.927446955,29.488021905,0.276522929999999,4.24640657
"18","2019-0451","Doha","Hard",32,"A",2018-12-31,267,104898,104235,"",104136,103529,"","6-4 6-1",3,"SF","Robin Haase","R","NED",31.73716632,"Matwe Middelkoop","R","NED",35.32648871,"Santiago Gonzalez","R","MEX",35.84941821,"Aisam Ul Haq Qureshi","R","PAK",38.78986995,38,2100,36,2160,53,1470,47,1605,6,0,42,29,23,9,8,4,4,2,2,49,32,20,7,9,4,8,69.0476190476191,65.3061224489796,79.3103448275862,62.5,33.531827515,37.31964408,3.58932239,2.94045174
"19","2019-0451","Doha","Hard",32,"A",2018-12-31,266,105831,104925,"WC",106000,105583,"","7-5 3-6 (10-7)",3,"QF","Marko Djokovic","R","SRB",27.36481862,"Novak Djokovic","R","SRB",31.61122519,"Damir Dzumhur","R","BIH",26.6146475,"Dusan Lajovic","R","SRB",28.50376454,607,15,268,180,148,495,240,225,4,1,73,44,31,14,11,8,11,2,2,64,50,34,7,10,3,5,60.2739726027397,78.125,70.4545454545455,68,29.488021905,27.55920602,4.24640657,1.88911704
"20","2019-0451","Doha","Hard",32,"A",2018-12-31,265,105676,105732,"",105254,103580,"","6-2 3-6 (10-3)",3,"QF","David Goffin","R","BEL",28.06570842,"Pierre Hugues Herbert","R","FRA",27.78918549,"Nikola Mektic","R","CRO",30.01779603,"Alexander Peya","R","AUT",38.51060917,354,90,12,4440,13,4400,17,4045,0,2,58,41,27,7,9,5,8,1,5,53,32,20,8,8,2,5,70.6896551724138,60.377358490566,65.8536585365854,62.5,27.927446955,34.2642026,0.276522929999999,8.49281314
